wqx,masswater,ri_dem,ma_brc,me_dep,me_focb,Target_Unit,From_X,To_X,wqdashboard,ri_ww
CCE/100mL|CCE/100ml,,,,,,CCE/100mL,x,x,CCE/100mL|CCE/100ml,
cd,,,,,,cd,x,x,cd,
CE/100mL|CE/100ml,,,,,,CE/100mL,x,x,CE/100mL|CE/100ml,
cells/dL|cells/dl,,,,,,cells/dL,x,x,cells/dL|cells/dl,
CFU,,,,,,CFU,x,x,CFU,
cfu/100g,,,,,,cfu/100g,x,x,cfu/100g,
cfu/10mL|cfu/10ml,,,,,,cfu/100mL,x / 10,x * 10,cfu/10mL|cfu/10ml,
cfu/gdw,,,,,,cfu/gdw,x,x,cfu/gdw,
cfu/L|cfu/l,,,,,,cfu/100mL,x * 10,x / 10,cfu/L|cfu/l,
cfu/mL|cfu/ml,,,,,,cfu/100mL,x * 100,x / 100,cfu/mL|cfu/ml,
cm/sec,,,,,,m/sec,x * 0.01,x / 0.01,cm/sec,
cm2,,,,,,m2,x * 0.0001,x / 0.0001,cm2,
cm3,,,,,,m3,x * 0.000001,x / 0.000001,cm3,
cm3/cm3,,,,,,cm3/cm3,x,x,cm3/cm3,
cm3/g,,,,,,cm3/g,x,x,cm3/g,
cm3/hr,,,,,,cfs,x * 0.00000000981,x / 0.00000000981,cm3/hr,
cm3/L|cm3/l,,,,,,mm3/L,x * 1000,x / 1000,cm3/L|cm3/l,
cm3/min,,,,,,cfs,x * 0.000000589,x / 0.000000589,cm3/min,
cm3/sec,,,,,,cfs,x * 0.0000353,x / 0.0000353,cm3/sec,
code,,,,,,code,x,x,code,
COHS/1000ft,,,,,,COHS/1000ft,x,x,COHS/1000ft,
copies,,,,,,copies,x,x,copies,
copies/100mL,,,,,,copies/mL,x * 0.01,x / 0.01,copies/100mL,
copies/250mL|copies/250ml,,,,,,copies/mL,x / 250,x * 250,copies/250mL|copies/250ml,
copies/mL|copies/ml,,,,,,copies/mL,x,x,copies/mL|copies/ml,
count,,,,,,count,x,x,count,
counts/sec,,,,,,counts/sec,x,x,counts/sec,
d/h/m/s,,,,,,d/h/m/s,x,x,d/h/m/s,
Da,,,,,,Da,x,x,Da,
dam3,,,,,,dam3,x,x,dam3,
days,,,,,,minutes,x * 1440,x / 1440,days,
dB,,,,,,dB,x,x,dB,
dddmmss,,,,,,dddmmss,x,x,dddmmss,
decibar,,,,,,g/m2,x * 1019716.213,x / 1019716.213,decibar,
deg C/100m,,,,,,deg C/100m,x,x,deg C/100m,
deg K,,,,,,deg C,x - 273.15,x + 273.15,deg K,
dL|dl,,,,,,m3,x * 0.0001,x / 0.0001,dL|dl,
dm,,,,,,m,x * 0.1,x / 0.1,dm,
dm2,,,,,,m2,x * 0.01,x / 0.01,dm2,
DOY,,,,,,DOY,x,x,DOY,
dpm/100L|dpm/100l,,,,,,dpm/100L,x,x,dpm/100L|dpm/100l,
dpm/cm3,,,,,,dpm/cm3,x,x,dpm/cm3,
dpm/g,,,,,,dpm/g,x,x,dpm/g,
drips/min,,,,,,drips/min,x,x,drips/min,
drops,,,,,,drops,x,x,drops,
eq/L|eq/l,,,,,,eq/L,x,x,eq/L|eq/l,
FBRU,,,,,,FBRU,x,x,FBRU,
fc/ft2,,,,,,lm/m2,x * 10.76391042,x / 10.76391042,fc/ft2,
fg/kg,,,,,,fg/kg,x,x,fg/kg,
fibers/cm3,,,,,,fibers/cm3,x,x,fibers/cm3,
fibers/L|fibers/l,,,,,,fibers/L,x,x,fibers/L|fibers/l,
fraction,,,,,,fraction,x,x,fraction,
ft/day,,,,,,m/sec,x * 0.00000353,x / 0.00000353,ft/day,
ft/hr,,,,,,ft/hr,x,x,ft/hr,
ft/mile,,,,,,ft/mile,x,x,ft/mile,
ft/min,,,,,,m/sec,x * 0.00508,x / 0.00508,ft/min,
ft/sec,,,,,,m/sec,x * 0.3048,x / 0.3048,ft/sec,
ft2,,,,,,m2,x * 0.09290304,x / 0.09290304,ft2,
ft3,,,,,,m3,x * 0.028316847,x / 0.028316847,ft3,
ft3/day,,,,,,cfs,x / 86400,x * 86400,ft3/day,
ft-candles,,,,,,lm/m2,x * 10.76391042,x / 10.76391042,ft-candles,
ft-lbs,,,,,,kcal,x * 0.000323832,x / 0.000323832,ft-lbs,
g,,,,,,g,x,x,g,
g/cm2,,,,,,ug/cm2,x * 1000000,x / 1000000,g/cm2,
