Sample ID,Sample Date,Lab,Analysis Date,Parameter,Result,Unit,RL,MDL,Method,Sample Depth m
P5BSD,05/23/23,UMWL,07/06/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.12,MG/L,0.1,0.073,SM4500NE_2021,0.2
P5BSD,06/21/23,UMWL,07/28/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.16,MG/L,0.1,0.073,SM4500NE_2021,0.2
P5BSD,07/18/23,UMWL,09/25/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.26,MG/L,0.1,0.073,SM4500NE_2021,0.2
P5BSD,08/16/23,UMWL,10/20/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.20,MG/L,0.1,0.073,SM4500NE_2021,0.2
P5BSD,09/06/23,UMWL,10/30/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.18,MG/L,0.1,0.073,SM4500NE_2021,0.2
P5BSD,10/04/23,UMWL,11/08/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.21,MG/L,0.1,0.073,SM4500NE_2021,0.2
P6FGG,05/23/23,UMWL,07/06/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.16,MG/L,0.1,0.073,SM4500NE_2021,0.2
P6FGG,06/21/23,UMWL,07/20/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.22,MG/L,0.1,0.073,SM4500NE_2021,0.2
P6FGG,07/05/23,UMWL,08/28/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.24,MG/L,0.1,0.073,SM4500NE_2021,0.2
P6FGG,07/18/23,UMWL,09/22/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.22,MG/L,0.1,0.073,SM4500NE_2021,0.2
P6FGG,08/16/23,UMWL,10/20/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.26,MG/L,0.1,0.073,SM4500NE_2021,0.2
P6FGG,09/06/23,UMWL,10/30/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.25,MG/L,0.1,0.073,SM4500NE_2021,0.2
P6FGG,10/04/23,UMWL,11/08/23,"TOTAL NITROGEN MIXED FORMS (NH3, NH4, ORGANIC, NO2, AND NO3) AS NITROGEN",0.25,MG/L,0.1,0.073,SM4500NE_2021,0.2
