WQX,MassWateR,RI_WW,RI_DEM
,,,"Nitrogen, Total (filtered) - 00602"
,,,"Nitrogen, Total (water, filtered, analytically determined) - 62854"
,,,"Nitrogen, Total (water, unfiltered, analytically determined) - 62855"
,,,"Nitrogen, Total Kjeldahl (filtered) - 00623"
,,,"Nitrogen, Total Kjeldahl (unfiltered) - 00625"
,,,N-Nitrosodimethylamine - 34438
,,,N-Nitrosodi-N-Propylamine - 34428
,,,N-Nitrosodiphenylamine - 34433
,,,NOAEL STAT Re 48HR  Acute Menidia - TDM6B
,,,NOAEL STAT Re 48HR Acute Mysid. Bahia - TDM3E
,,,NOAEL STAT Re 96HR Acute Menidia - TDN6B
,,,NOAEL STAT Re 96HR Acute Mysid. Bahia - TDN3E
,,,Oil & Grease|Freon Extr-Grav - 00556
,,,Oil and Grease - 00550
,,,"Orthophosphate, Dissolved - 00671"
,,,PCB-1016 - 34671
,,,PCB-1232 - 39492
,,,PCB-1248 - 39500
,,,PCB-1254 - 39504
,,,PCB-1260 - 39508
,,,P-Chloro-M-Cresol - 34452
,,,Pentachlorophenol - 39032
,,,Phenanthrene - 34461
,,,Phenol - 34694
,,,"Phenols, Total - 34043"
,,,"Phosphate, Ortho (as PO4) - 00660"
,,,"Potassium, Total (as K) - 00937"
,,,PRESUMPTIVE - SHEL5
,,,Production Rate - 00145
,,,Pyrene - 34469
,,,Radioactivity-Rad To - 09501
,,,Selenium - 01147
,,,Settleable Solids - 00545
,,,"Silica, Total - 00956"
,,,Silver in Bottom - 01078
,,,"Silver, Dissolved - 01075"
,,,"Silver, Total - 01077"
,,,Sludge Production - 00165
,,,"Sludge Weight, wet tons - 70321"
,,,"Sodium, Total - 00929"
,,,"Specific Conductance, water, unfiltered, microsiemens per centimeter at 25° C - 00095"
,,,Sulfide as S - 00745
,,,Sulfite as SO3 - 00740
,,,Temperature (Difference) - 00018
,,,"Thallium, Total - 01059"
,,,"Tin, Total - 01102"
,,,"Titanium, Total - 01152"
,,,Total Coliforms - 74056
,,,Total Organic Carbon - 00680
,,,Total Oxygen Demand (TOD) - 00343
,,,Total Recoverable Phenols - 32730
,,,Toxaphene - 39400
,,,Trichlorofluoromethane - 34488
,,,TSS % Removal - 81011
,,,Vinyl Chloride - 39175
,,,Xylene - 81551
,,,"Zinc, Dissolved - 01090"
,,,"Zinc, Sludge, Total, Dry Wt. - 78467"
,,,"Zinc, Total - 01092"
