SiteID,Date,Time,Sample Depth m,Temp °C,Sal psu,ODO mg/L,ODO % sat,pH,Chlorophyll ug/L,Turbidity FNU
P5BSD,8/16/2023,9:59,1,19,29.3,8.1,104.1,8,3.4,0.4
P5BSD,8/16/2023,9:59,2,18.4,29.6,8,101.8,7.99,4.2,0.4
P5BSD,8/16/2023,10:00,4,17,30.3,7.8,96.5,7.94,4,0.5
P5BSD,8/16/2023,10:00,6,16.6,30.5,7.6,94.3,7.92,3.9,0.6
P5BSD,8/16/2023,10:01,8,16.1,30.8,7.5,91.1,7.9,4,0.6
P5BSD,8/16/2023,10:01,10,15.9,30.7,7.2,87.7,7.89,3.8,0.6
P5BSD,8/16/2023,10:02,12,14.4,31.3,7,82.8,7.84,3.3,0.7
P5BSD,8/16/2023,10:03,14.1,13.9,31.4,7.1,83.1,7.83,2.5,0.7
P5BSD,9/6/2023,9:57,0.1,17.1,30.8,8.3,103.3,7.95,3.1,0.4
P5BSD,9/6/2023,9:58,2,16.5,30.8,8.1,100.3,7.93,5.1,0.4
P5BSD,9/6/2023,9:58,4,16.4,30.9,8.1,99.5,7.93,5,0.4
P5BSD,9/6/2023,9:58,4.1,16.3,30.9,8.1,99,7.92,5.1,0.4
P5BSD,9/6/2023,9:59,6,16.3,30.9,8,98.7,7.92,4.7,0.5
P5BSD,9/6/2023,10:00,8,16.3,31,8,98.4,7.92,5.1,0.4
P5BSD,9/6/2023,10:00,10,16.2,31,8,98.1,7.91,4.6,0.5
P5BSD,9/6/2023,10:01,12,15.3,31.1,7.6,92.2,7.89,3.3,0.5
P5BSD,9/6/2023,10:01,14,15,31.3,7.6,90.8,7.88,3,0.5
P5BSD,9/6/2023,10:01,16,14.7,31.3,7.5,90.2,7.88,2.9,0.5
P5BSD,9/6/2023,10:01,16.1,14.7,31.4,7.5,90,7.88,2.8,0.5
P5BSD,9/6/2023,10:02,18.3,14.6,31.4,7.5,89.3,7.87,2.6,0.5
P5BSD,9/6/2023,10:02,20,14.6,31.4,7.5,89.1,7.87,2.5,0.5
P5BSD,9/6/2023,10:03,24,14,31.5,7.3,85.7,7.86,2.2,0.7
P5BSD,10/4/2023,9:55,0.2,15.7,30.9,8.3,101.3,8.02,4,0.4
P5BSD,10/4/2023,9:56,1,15.7,30.9,8.4,101.4,8.02,4.5,0.4
P5BSD,10/4/2023,9:56,2,15.2,30.9,8.2,99.1,8.01,8.2,0.4
P5BSD,10/4/2023,9:57,4,15,31,8.1,96.7,7.99,5.8,0.4
P5BSD,10/4/2023,9:57,6,14.8,31.1,8,95.3,7.98,4.7,0.3
P5BSD,10/4/2023,9:57,8.1,14.8,31.1,7.9,94.2,7.97,4.4,0.4
P5BSD,10/4/2023,9:58,10,14.8,31.2,7.8,93.4,7.97,4.3,0.4
P5BSD,10/4/2023,9:58,12,14.7,31.2,7.8,92.8,7.97,4.3,0.4
P5BSD,10/4/2023,9:59,14,14.6,31.2,7.7,92,7.97,4,0.4
P5BSD,10/4/2023,9:59,18,14.6,31.2,7.7,91.7,7.97,3.7,0.4
P5BSD,10/4/2023,10:00,20,14.5,31.3,7.6,90.6,7.96,3.2,0.5
P5BSD,10/4/2023,10:00,22,14.4,31.4,7.5,89.5,7.95,2.9,0.7
P5BSD,10/4/2023,10:00,24,14.1,31.5,7.4,87.6,7.94,2.7,0.9
P5BSD,10/4/2023,10:00,25.1,14.1,31.5,7.4,87.4,7.94,2.6,0.8
P6FGG,5/23/2023,13:44,0.2,10.4,29.5,9.5,102.2,7.94,1,1.6
P6FGG,5/23/2023,13:45,1,10.3,29.5,9.5,102.2,7.93,1,1.7
P6FGG,5/23/2023,13:45,2,9.9,29.8,9.5,101.2,7.93,1.2,1.8
P6FGG,5/23/2023,13:46,4,9.7,30,9.4,100.3,7.93,2.2,1.7
P6FGG,5/23/2023,13:46,6,9.1,30.6,9.3,98.6,7.93,2.2,1.6
P6FGG,5/23/2023,13:47,8.1,8.9,30.8,9.3,98,7.92,1.8,1.6
P6FGG,5/23/2023,13:47,10,8.8,30.8,9.3,97.8,7.92,1.7,1.7
P6FGG,5/23/2023,13:48,11.8,8.8,30.8,9.3,97.9,7.93,2,1.8
P6FGG,6/21/2023,12:54,0.2,16.8,26.4,8.4,101.9,7.96,2.5,1.9
P6FGG,6/21/2023,12:54,1,16.6,26.6,8.4,101.3,7.95,2.8,1.9
P6FGG,6/21/2023,12:55,2,14.6,28.8,8.5,100.3,7.98,4.3,1.5
P6FGG,6/21/2023,12:55,4,13.6,30.1,8.4,96.9,7.98,3.2,1.2
P6FGG,6/21/2023,12:55,6,13.2,30.4,8.3,96.2,7.98,2.9,1.3
P6FGG,6/21/2023,12:57,8,12.7,30.7,8.4,95.5,7.97,2.5,1.2
P6FGG,6/21/2023,12:57,10,12.6,30.8,8.4,95.4,7.97,2.6,1.2
P6FGG,6/21/2023,12:57,11.1,12.6,30.8,8.4,95.3,7.97,2.5,1.2
