wqx,masswater,ri_dem,ma_brc,me_dep,me_focb,Target_Unit,From_X,To_X
grains,,,,,,g,x * 0.06479891,
Granules,,,,,,Granules,x,
ha,,,,,,m2,x * 10000,
hhmm,,,,,,hhmm,x,
hp,,,,,,Mw,x * 0.000746,
hPa,,,,,,hPa,x,
HU,,,,,,PCU,x,
Imp gal,,,,,,m3,x * 0.00454609,
in,,,,,,m,x / 39.37008,
in/day,,,,,,in/day,x,
in/hr,,,,,,in/hr,x,
in/min,,,,,,in/min,x,
in/week,,,,,,in/week,x,
in2,,,,,,m2,x * 0.00064516,
in3,,,,,,m3,x * 0.0000164,
inH2O,,,,,,inH2O,x,
inHg,,,,,,mmHg,x * 25.4,
ipiu/100L|ipiu/100l,,,,,,ipiu/100L,x,
IVFU,,,,,,IVFU,x,
JCU,,,,,,JCU,x,
Joules,,,,,,kcal,x * 0.000238846,
kcal,,,,,,kcal,x,
kg,,,,,,g,x * 1000,
kg/day,,,,,,kg/day,x,
kg/day/mi2,,,,,,kg/day/mi2,x,
kg/ha,,,,,,g/m2,x * 0.1,
kg/m2,,,,,,g/m2,x * 1000,
kg/m3,,,,,,ug/L,x * 1000000,
Kg/m3-1000,,,,,,Kg/m3-1000,x,
kg/t,,,,,,kg/t,x,
kg/tons,,,,,,kg/tons,x,
kgal,,,,,,m3,x * 3.785412,
km,,,,,,m,x * 1000,
km/hr,,,,,,m/sec,x * 0.277777778,
km/sec,,,,,,m/sec,x * 1000,
km2,,,,,,m2,x * 1000000,
knots,,,,,,m/sec,x * 0.514444444,
KOhm/cm,,,,,,KOhm/cm,x,
Kohm-cm,,,,,,ohm-m,x * 10,
kPa,,,,,,g/m2,x * 101971.6213,
kw,,,,,,Mw,x * 0.001,
L/day|l/day,,,,,,cfs,x * 0.000000409,
L/hr|l/hr,,,,,,cfs,x * 0.00000981,
L/mg-cm|l/mg-cm,,,,,,L/mg-cm,x,
L/mg-m|l/mg-m,,,,,,L/mg-cm,x * 100,
L|l,,,,,,m3,x * 0.001,
Langleys,,,,,,Langleys,x,
lb,,,,,,g,x * 453.59237,
lb/ac-ft,,,,,,ug/L,x * 367.7311837,
lb/acre/yr,,,,,,mg/m2/day,x * 0.306871065,
lb/day/mi2,,,,,,lb/day/mi2,x,
lb/ft2,,,,,,lb/ft2,x,
lb/ft3,,,,,,lb/ft3,x,
lb/hr,,,,,,lb/day,x * 24,
lb/in,,,,,,lb/in,x,
lb/kgal|lbs/kgal,,,,,,lbs/kgal,x,
